script,matches_probe,readable
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/TVMFQT/Mitts_CVE_replication.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/compute_conley.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/figure-a10.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/figure-a11.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/figure-a13.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/figure-a8.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-3.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-a1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-a2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-a3.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-a4.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-a5.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-a6.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/UJZY4C/table-a7.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/WIXREP/final_analysis.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/WM2VSE/QMT_data_replication.r,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/WQZQBT/Fracking_Analysis_Code.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/WQZQBT/Mortality_Impact_Analysis.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/WQZQBT/PSM.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/figure-4.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/figure-e2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/figure-e3.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/figure-e4.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-3.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-4.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e12.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e13.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e14.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e15.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e16.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e17.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e18.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e19.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e20.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e21.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e22.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e23.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e24.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e25.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YEH04R/table-e27.R,False,True
