package,version,released,index,text
survival,3.4-1,,3,"Add a check to pseudo. The algorithm was not designed for a survfit curve from interval censored data, but still produced a result (assuredly an incorrect one). Interval censored curves now have type='interval' to help support this."
survival,3.4-1,,4,Predict.coxph with reference='zero' and missing newdata incorrectly assumed it could simply return fit$residuals. Pointed out by David Collett.
survival,3.4-1,,5,"Change the prototype in a few .c routines, per a request from CRAN. (chinv.c for instance was using the old K&R style declaration, which shows how long ago it was written.)"
survival,3.4-1,,6,Check and submit to CRAN
survival,3.4-0,2022-08-09,1,Replace .[terms call in predict.coxph with drop.term(); due to an error in [.term discovered by Jorge Menezes. Add dropterm.R to the test suite.
survival,3.4-0,2022-08-09,2,"Fix all errors in R CMD check, and submit to CRAN"
survival,3.3-2,,1,"Error in concordance(fit, newdata) if newdata had missing values: the derived x and y could be different lengths."
survival,3.3-2,,2,Add test cases for the (rather difficult) case of predicted survival for multi-state coxph model that has shared hazards
survival,3.3-2,,3,"nsk(..., Boundary.knots=FALSE) was not being handled properly."
survival,3.3-2,,4,Fix error in terms.inner; it failed for a function with no arguments. Pointed out by Daniel Sjberg and Duncan Murdoch.
survival,3.3-2,,5,Remove Sint from C code.
survival,3.3-2,,6,"anova.coxph sometimes used P(>Chi) and somtimes Pr(>Chi) as a printout label, depending on the argument; the base packages all use ""Pr"". Changed this to be consistent."
survival,3.3-1,2022-03-03,1,"Update the saved tests/Examples/survival-Ex.Rout.save file so as to remove timings, at the behest of CRAN. (Footnote 21 in the packages manual talks about this.)"
survival,3.3-0,2022-03-01,1,"Change any calls to Calloc or Free in the C code to R_Calloc and R_Free, at the request of R core."
survival,3.3-0,2022-03-01,2,"Fix an oversight in aareg: when coxph and survreg were converted from using +cluster() in a formula to cluster as an argument, that same change needed to be made in aareg. Pointed out by zdgager."
survival,3.3-0,2022-03-01,3,"The std of the cumulative hazard is now present, for select cases of a coxph model curve. More work remains to be done to return the std for all cases."
survival,3.3-0,2022-03-01,4,"Add a paragraph to the help page for survfit.Rd, pointing out that robust variance is now the default for interval censored data, and why."
survival,3.3-0,2022-03-01,5,Add the median.survfit method
survival,3.3-0,2022-03-01,6,Improve the examples in pseudo.Rd
survival,3.3-0,2022-03-01,7,"Fix error in survreg.distributions$gaussian$deviance. The deviance of an interval censored observation was NA due to a sign that was backwards, leading to log of a negative value. (Simple typo.)"
survival,3.3-0,2022-03-01,8,Error in predict.coxph: it would fail for a model that had two strata terms. Reported by Hanna Frick.
survival,3.3-0,2022-03-01,9,"Fix github issue 130. If newdata contained the strata information, and there was only one curve requested, survfit.coxph would return too many curves."
survival,3.2-15,,1,"Fix an inconsistency with the start.time argument. One of the survfit paths would include an event at start.time (curve starts with an immediate drop) others did not. All paths now do so. This makes start.time=0 behave the same as ordinary survfit, without the argument, when there is a death at time 0."
survival,3.2-14,,1,"Update the royston function to report the scaled Cox-Snell R-squared as the Nagelkerke estimate, and clarify the documentation."
survival,3.2-14,,2,"Update for coxph with ties=exact, for the case of an infinite coefficient where the information matrix becomes singular. Code for this case had been developed for coxfit6.c (Breslow/Efron) but not replicated in coxexact.c"
survival,3.2-13,2021-08-24,1,Clarify some sentences in tmerge help file.
survival,3.2-13,2021-08-24,2,"Fix a memory access error in concordance3.c, found by CRAN."
survival,3.2-13,2021-08-24,3,Add the drop.special function (internal) to work around offset problems in [.terms.
survival,3.2-12,2021-08-13,1,Avoid a downstream error from infinte coefficients in coxph. In special case it would fail by passing an NA to C code.
